pmid,Type,doi,title,Clinically focused,Clinical condition examined,Type of intervention examined,Type of study,Aspect of study the simulation informed,Drug class or vaccine,Simulation type,Data generation mechanism,Time parameterisation,Covariate dependency,Time-varying covariates,Time-varying effects,Source for data generation,Factoring used,Factor variables,Number of simulations (nsim),Number of observations per simulation (nobs),Quantity of interest,Primary inferential method,Primary inferential method categorised,Performance measure for assessing inferential method,Uncertainty analysis,Programming language,Published code is linked and/or referenced in the text,Shared code use,Shared code location
32436295,Original article,10.1002/pds.5026,Using the waiting time distribution with random index dates to estimate prescription durations in the presence of seasonal stockpiling.,No,NA,NA,Exposure measurement,Design,NA,Monte Carlo,Random sampling,Continuous,Yes,No,Yes,Synthetic data,Yes,Covariates,2500,1000000,Inter-arrival density,Waiting time distribution,Estimation,Bias,None,Stata,No,NA,Code package
32548875,Original article,10.1002/pds.5031,Bias in case-crossover studies of medications due to persistent use: a simulation study.,No,NA,NA,Comparative effectiveness/safety,Design,NA,Monte Carlo,Random sampling,Continuous,Yes,No,No,Synthetic data,Yes,Covariates,1000,15000,odds ratio,Crude OR,Estimation,Bias,Quantiles,R,Yes,DGM,Supplemental
32716126,Original article,10.1002/pds.5074,Machine learning outcome regression improves doubly robust estimation of average causal effects.,No,NA,NA,Comparative effectiveness/safety,Analysis,NA,Monte Carlo,Random sampling,Discrete,Yes,No,No,Synthetic data,No,NA,500,2000,Treatment effect,Logistic regression,Maximum likelihood,Bias,RMSE,R,No,NA,NA
33733533,Original article,10.1002/pds.5232,Greedy caliper propensity score matching can yield variable estimates of the treatment-outcome association-a simulation study.,No,NA,NA,Comparative effectiveness/safety,Analysis,NA,Monte Carlo,Random sampling,None,Yes,No,No,Both,Yes,"DGM, covariates",1000,500 2500 10000,odds ratio,PS matched intention-to-treat analysis ,Other,Correct inference rate,None,R,No,NA,NA
33988275,Original article,10.1002/pds.5294,Sensitivity analyses of unmeasured and partially-measured confounders using multiple imputation in a vaccine safety study.,Yes,Type 1 diabetes,Vaccine,Comparative effectiveness/safety,Analysis,Rotavirus vaccine,Monte Carlo,Random sampling,None,Yes,No,No,Both,No,NA,2000,11003 15765 360170,Hazard ratio,Cox PH,Partial likelihood,None,None,SAS,Yes,Analysis,Supplemental
34227170,Original article,10.1002/pds.5323,Differential frequency in imaging-based outcome measurement: bias in real-world oncology comparative-effectiveness studies.,Yes,Cancer,No specific intervention,Comparative effectiveness/safety,Design and analysis,NA,Monte Carlo,Random sampling,Continuous,Yes,No,No,Both,Yes,"True effect, covariates",1000,1000,Hazard ratio,Cox PH,Partial likelihood,Bias,Confidence interval,R,Yes,Both,Supplemental
34251702,Original article,10.1002/pds.5328,Bias of time-varying exposure effects due to time-varying covariate measurement strategies.,No,NA,NA,Comparative effectiveness/safety,Design,NA,Monte Carlo,Random sampling,Continuous,Yes,Yes,No,Synthetic data,Yes,"DGM, covariates",5000, 150000 10000 1000,Risk difference,IPW Cox,Partial likelihood,Bias,None,R,Yes,Both,Supplemental
34382713,Original article,10.1002/pds.5340,Using multiple random index dates with the reverse waiting time distribution improves precision of estimated prescription durations.,No,NA,NA,Exposure measurement,Analysis,NA,Monte Carlo,Random sampling,Continuous,Yes,No,No,Synthetic data,Yes,"True effect, covariates",1000,1000000,Inter arrival distribution,reverse waiting time distribution,Estimation,Bias,Coverage,Stata,No,NA,Package
34611960,Original article,10.1002/pds.5366,Pharmacological and epidemiological considerations while constructing treatment episodes using observational data: a simulation study.,No,NA,NA,Comparative effectiveness/safety,Design,NA,Monte Carlo,Random sampling,Continuous,No,No,No,Synthetic data,No,NA,1,100,Incidence rate ratio,Crude ratio,Estimation,None,None,R,No,NA,NA
34953160,Original article,10.1002/pds.5403,A comparison of confounder selection and adjustment methods for estimating causal effects using large healthcare databases.,Yes,nonvalvular atrial fibrillation,Drug,Comparative effectiveness/safety,Analysis,Direct oral anticoagulants,Plasmode,Random sampling,None,Yes,No,No,Both,Yes,Covariates,1000 400 100,20000 10000 1000,Risk difference,PS matching,Estimation,Bias,Standard deviation,R,No,NA,NA
35088482,Original article,10.1002/pds.5410,Sampling in the case-time-control design among drug users when outcome prevents further treatment.,Yes,Upper GI bleed,Drug,Comparative effectiveness/safety,Design,Nonsteroidal anti-inflammatory ,Monte Carlo,Random sampling,Continuous,Yes,No,No,Synthetic data,Yes,True effect,10000,100000,Odds ratio,Logistic regression,Maximum likelihood,None,None,Unknown,No,NA,NA
35505471,Original article,10.1002/pds.5446,Alternative analytic and matching approaches for the prevalent new-user design: a simulation study.,No,NA,NA,Comparative effectiveness/safety,Analysis,NA,Monte Carlo,Stochastic process,Discrete,Yes,Yes,Yes,Synthetic data,No,NA,2000,86000,Hazard ratio,NA,NA,Bias,MCSE,Stata,Yes,DGM,Supplemental
36380400,Original article,10.1002/pds.5563,Imputing missing covariates in time-to-event analysis within distributed research networks: A simulation study.,Yes,Surgical readmission,Surgery,Comparative effectiveness/safety,Analysis,Bariatric surgery,Monte Carlo,Random sampling,Continuous,Yes,No,No,Both,Yes,DGM,500,10000,Hazard ratio,Cox PH,Partial likelihood,Bias,Confidence interval,R,No,NA,NA
36916014,Original article,10.1002/pds.5609,Exploring the impact of design criteria for reference sets on performance evaluation of signal detection algorithms: The case of drug-drug interactions.,No,NA,NA,Signal detection,Design,NA,Monte Carlo,Random sampling,None,No,No,No,Real world data,No,NA,1000,NA,AUROC,ROC calculation,Other,Difference in AUROC,Confidence interval,Unknown,No,NA,NA
36919941,Original article,10.1002/pds.5614,Bias amplification of unobserved confounding in pharmacoepidemiological studies using indication-based sampling.,Yes,Familial hypercholesterolemia,Drug,Comparative effectiveness/safety,Design,Statin,Monte Carlo,Random sampling,None,Yes,No,No,Synthetic data,Yes,"DGM, true effect, covariates",1000,1000000,Relative risk,multivariable modified Poisson regression,Maximum likelihood,Relative bias,Confidence interval,Stata,No,NA,NA
36966482,Original article,10.1002/pds.5624,Sensitivity and specificity in signal detection with the reporting odds ratio and the information component.,No,NA,NA,Signal detection,Analysis,NA,Monte Carlo,Random sampling,None,No,No,No,Synthetic data,Yes,"True effect, covariates",10000,1000000,Reporting odds ratio,empirical ROR,Estimation,False positive rate,None,MATLAB,No,NA,Na
37208837,Original article,10.1002/pds.5639,Differences in target estimands between different propensity score-based weights.,No,NA,NA,Comparative effectiveness/safety,Analysis,NA,Monte Carlo,Random sampling,None,Yes,No,No,Synthetic data,Yes,"True effect, covariates",648,10000000,Average treatment effect,Propensity score weighting,Estimation,Bias,CDF of ATE,R,Yes,Both,Supplemental
38362649,Original article,10.1002/pds.5750,Probabilistic precision calculations for the planning of studies assessing negative binomial rates.,Yes,Asthma,No specific intervention,Outcome rate estimation,Design,NA,Monte Carlo,Random sampling,None,No,No,No,Synthetic data,Yes,Covariates,10000,50 500,Precision probability,multivariate delta method,Other,Bias,None,R,Yes,Both,Supplemental
38450934,Brief report,10.1002/pds.5774,Is the sequence ratio an unbiased estimate of the incidence rate ratio? A simulation study.,No,NA,NA,Comparative effectiveness/safety,Analysis,NA,Monte Carlo,Stochastic process,Continuous,No,No,No,Synthetic data,Yes,True effect,2500,1000000,Incidence rate ratio,sequence symmetry analysis,Other,Bias,MCSE,Stata,Yes,Both,Gitlab
38680093,Original article,10.1002/pds.5796,Use of quantitative bias analysis to evaluate single-arm trials with real-world data external controls.,Yes,Cancer,Drug,Comparative effectiveness/safety,Analysis,Immunotherapy,Monte Carlo,Stochastic process,Continuous,Yes,No,No,Both,Yes,"DGM, covariates",10000,700,Hazard ratio,Cox PH,Partial likelihood,Bias,Confidence interval,R,Yes,Both,Supplemental
39252380,Original article,10.1002/pds.5873,A Two-Step Framework for Validating Causal Effect Estimates.,No,NA,NA,Comparative effectiveness/safety,Design and analysis,NA,Monte Carlo,Random sampling,None,Yes,No,No,Synthetic data,Yes,"DGM, true effect",50,10000,Average treatment effect,Crude ATE,Estimation,Bias,Confidence interval,R,Yes,Analysis,Code package
39375947,Original article,10.1002/pds.70019,Validation Assessment of Privacy-Preserving Synthetic Electronic Health Record Data: Comparison of Original Versus Synthetic Data on Real-World COVID-19 Vaccine Effectiveness.,Yes,Covid-19,Vaccine,Comparative effectiveness/safety,Analysis,COVID-19 vaccine,Monte Carlo,Random sampling,Unknown,Unknown,Unknown,Unknown,Both,No,NA,5,1178081 1178085,Hazard ratio,Cox PH,Partial likelihood,Bias,CI overlap,"R, SAS",No,NA,NA
