Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Alternative analytic and matching approaches for the prevalent new-user design: a simulation study.,Webster-Clark M; Mavros P; Garry Em; Stürmer T; Shmuel S; Young J; Girman C,"To describe the creation of prevalent new user (pnu) cohorts and compare the relative bias and computational efficiency of several alternative analytic and matching approaches in pnu studies. In a simulated cohort, we estimated the effect of a treatment of interest vs a comparator among those who switched to the treatment of interest using the originally proposed time-conditional propensity score (tcps) matching, standardized morbidity ratio weighting (smrw), disease risk scores (drs), and several alternative propensity score matching approaches. For each analytic method, we compared the average rr (across 2000 replicates) to the known risk ratio (rr) of 1.00. Smrw and drs yielded unbiased results (rr = 0.998 and 0.997, respectively). Tcps matching with replacement was also unbiased (rr = 0.999). Tcps matching without replacement was unbiased when matches were identified starting with patients with the shortest treatment history as initially proposed (rr = 0.999), but it resulted in very slight bias (rr = 0.983) when starting with patients with the longest treatment history. Similarly, creating a match pool without replacement starting with patients with the shortest treatment history yielded an unbiased estimate (rr = 0.997), but matching with the longest treatment history first resulted in substantial bias (rr = 0.903). The most biased strategy was matching after selecting one random comparator observation per individual that continued on the comparator (rr = 0.802). Multiple analytic methods can estimate treatment effects without bias in a pnu cohort. Still, researchers should be wary of introducing bias when selecting controls for complex matching strategies beyond the initially proposed tcps.",,,,,,,35505471,10.1002/pds.5446,,#2107,,"",""
Sampling in the case-time-control design among drug users when outcome prevents further treatment.,Madsen Jeh; Hallas J; Delvin T; Scheike T; Pipper C,"The objective of this article is to advocate a new way of sampling controls in the case-time-control design in a cohort of drug users when the studied outcome prevents further treatment. Mathematically we demonstrate how a standard sampling of controls, where controls are sampled among all subjects without an event at end-of-study, leads to a biased effect estimate. We propose to add the requirement that controls initiate treatment before the calendar time of event of their matched case to circumvent this. The standard and proposed sampling methods are compared in a simulation study and in an empirical data example examining the effect of nonsteroidal anti-inflammatory drug usage on the risk of upper gastrointestinal bleeding. When the controls are sampled the standard way, the case-time-control design confers a bias because cases and controls have a different time-trend of exposure. The bias has been upwards in all the scenarios we have investigated. The requirement we add to be a potential control ensures that cases and controls have the same time-trend of exposure when treatment and outcome are independent. The simulation study confirms that the proposed sampling method removes the bias between treatment and outcome. The proposed sampling method lowered the odds-ratio estimate from 3.72 to 3.26 in the data example. The proposed sampling method makes it possible to use the case-time-control design in a cohort of subjects with registered use of a drug when outcome prevents further treatment.",,,,,,,35088482,10.1002/pds.5410,,#2108,,"",""
A comparison of confounder selection and adjustment methods for estimating causal effects using large healthcare databases.,Benasseur I; Talbot D; Durand M; Holbrook A; Matteau A; Potter Bj; Renoux C; Schnitzer Me; Tarride Jé; Guertin Jr,"Confounding adjustment is required to estimate the effect of an exposure on an outcome in observational studies. However, variable selection and unmeasured confounding are particularly challenging when analyzing large healthcare data. Machine learning methods may help address these challenges. The objective was to evaluate the capacity of such methods to select confounders and reduce unmeasured confounding bias. A simulation study with known true effects was conducted. Completely synthetic and partially synthetic data incorporating real large healthcare data were generated. We compared bayesian adjustment for confounding (bac), generalized bayesian causal effect estimation (gbcee), group lasso and doubly robust estimation, high-dimensional propensity score (hdps), and scalable collaborative targeted maximum likelihood algorithms. For the hdps, two adjustment approaches targeting the effect in the whole population were considered: full matching and inverse probability weighting. In scenarios without hidden confounders, most methods were essentially unbiased. The bias and variance of the hdps varied considerably according to the number of variables selected by the algorithm. In scenarios with hidden confounders, substantial bias reduction was achieved by using machine-learning methods to identify proxies as compared to adjusting only by observed confounders. Hdps and group lasso performed poorly in the partially synthetic simulation. Bac, gbcee, and scalable collaborative-targeted maximum likelihood algorithms performed particularly well. Machine learning can help to identify measured confounders in large healthcare databases. They can also capitalize on proxies of unmeasured confounders to substantially reduce residual confounding bias.",,,,,,,34953160,10.1002/pds.5403,,#2109,,"",""
Pharmacological and epidemiological considerations while constructing treatment episodes using observational data: a simulation study.,Pazzagli L; Andersen M; Sessa M,"The permissible gap method is an extensively used approach for defining episodes of continuous treatment use in pharmacoepidemiology. This method uses the amount of drug redeemed, when available, and researcher-defined temporal gaps to fill the interval between the calculated end of coverage of a redeemed prescription and the date of redemption of the next prescription in the same treatment episode. The final scope is defining periods of continuous use of medications. There are strong pharmacological and epidemiological arguments for adding the gap at the end of each treatment episode. However, the evidence is scarce on the impact that such a practice has on measures of association. This study aims to compare the impact of adding or not adding the researcher-defined gap time to the end of a treatment episode on the incidence of drug discontinuation and the incidence rate for a simulated outcome that occurred during an observational window. Additionally, the study aims at assessing the magnitude of misclassification of exposure time between the two methods. A simulated dataset of 100 patients available in the r package adherer that contains 1080 redeemed prescriptions was used. A gap time of 90 days was used for constructing treatment episodes in an observational window of 365 days following the first redeemed prescription. Two approaches were used for defining treatment episodes that were named ""gap+"" and ""gap-"" and that respectively add and did not add the gap time at the end of a treatment episode. An outcome was simulated by using an exponential baseline hazard function with scale parameter λ = 0.5 and censoring at time t = 365 days. The incidence rate ratio for the simulated outcome between the two approaches was computed. The 100 patients were followed for a median time of 183 days (interquartile range, iqr 50-365 days) and a median time of 273 days (iqr 140-365 days), respectively using ""gap-"" and ""gap+"". During the first 100 days of the follow-up period, none of the patients was found to discontinue the treatment with the method ""gap+"" while 38 patients discontinued using the method ""gap-"". The approach ""gap+"" exerted a higher incidence rate for the simulated outcome among the exposed (0.98 events/person-years) when compared to the ""gap-"" (0.82 events/person-years) during defined periods of continuous treatment use. When comparing the two approaches and using the method ""gap-"" as the reference group, the incidence rate ratio for the simulated outcome was 1.20 (95% confidence interval: ci 0.72-2.02) among the exposed. This study showed that not adding the gap at the end of the treatment episodes leads to an overestimation of drug discontinuation, particularly at the beginning of the observational window, and an underestimation of the incidence rate of a hypothetical outcome during the period of exposure to the medication.",,,,,,,34611960,10.1002/pds.5366,,#2110,,"",""
Using multiple random index dates with the reverse waiting time distribution improves precision of estimated prescription durations.,Bødkergaard K; Selmer Rm; Hallas J; Kjerpeseth Lj; Skovlund E; Støvring H,"To improve the precision of prescription duration estimates when using the reverse waiting time distribution (rwtd). For each patient we uniformly sampled multiple random index dates within a sampling window of length   . For each index date, we identified the last preceding prescription redemption, if any, within distance   . Based on all pairs of last prescription and index date, we estimated prescription durations using the rwtd with robust variance estimation. In simulation studies with increasing misspecification we investigated bias, root mean square error (rmse) and coverage probability of the rwtd using multiple index dates (1, 5, 10, and 20). We applied the method to danish data on warfarin prescriptions from 2013 to 2014 stratifying by and adjusting for sex and age. In simulation scenarios without misspecification, the relative bias was negligible (-0.04% to 0.01%) and nominal coverage probabilities almost retained (93.8%-95.4%). Rmse decreased with the number of random index dates (e.g., from 1.3 with 1 index date to 0.6 days with 5). With misspecification, the relative bias was higher irrespective of the number of index dates. Precision increased with the number of index dates, and hence coverage probabilities decreased. When estimating durations of warfarin prescriptions in denmark, precision increased with number of index dates, in particular in strata with few patients (e.g., men 90+ years: width of 95% confidence interval was 16.2 days with 5 index dates versus 35.4 with 1). Increasing the number of random index dates used with the rwtd improved precision without affecting bias.",,,,,,,34382713,10.1002/pds.5340,,#2111,,"",""
Bias of time-varying exposure effects due to time-varying covariate measurement strategies.,Penning De Vries Bbl; Groenwold Rhh,"In studies of effects of time-varying drug exposures, adequate adjustment for time-varying covariates is often necessary to properly control for confounding. However, the granularity of the available covariate data may not be sufficiently fine, for example when covariates are measured for participants only when their exposure levels change. To illustrate the impact of choices regarding the frequency of measuring time-varying covariates, we simulated data for a large target trial and for large observational studies, varying in covariate measurement design. Covariates were measured never, on a fixed-interval basis, or each time the exposure level switched. For the analysis, it was assumed that covariates remain constant in periods of no measurement. Cumulative survival probabilities for continuous exposure and non-exposure were estimated using inverse probability weighting to adjust for time-varying confounding, with special emphasis on the difference between 5-year event risks. With monthly covariate measurements, estimates based on observational data coincided with trial-based estimates, with 5-year risk differences being zero. Without measurement of baseline or post-baseline covariates, this risk difference was estimated to be 49% based on the available observational data. With measurements on a fixed-interval basis only, 5-year risk differences deviated from the null, to 29% for 6-monthly measurements, and with magnitude increasing up to 35% as the interval length increased. Risk difference estimates diverged from the null to as low as -18% when covariates were measured depending on exposure level switching. Our simulations highlight the need for careful consideration of time-varying covariates in designing studies on time-varying exposures. We caution against implementing designs with long intervals between measurements. The maximum length required will depend on the rates at which treatments and covariates change, with higher rates requiring shorter measurement intervals.",,,,,,,34251702,10.1002/pds.5328,,#2112,,"",""
Differential frequency in imaging-based outcome measurement: bias in real-world oncology comparative-effectiveness studies.,Adamson Bjs; Ma X; Griffith Sd; Sweeney Em; Sarkar S; Bourla Ab,"Comparative-effectiveness studies using real-world data (rwd) can be susceptible to surveillance bias. In solid tumor oncology studies, analyses of endpoints such as progression-free survival (pfs) are based on progression events detected by imaging assessments. This study aimed to evaluate the potential bias introduced by differential imaging assessment frequency when using electronic health record (ehr)-derived data to investigate the comparative effectiveness of cancer therapies. Using a nationwide de-identified ehr-derived database, we first analyzed imaging assessment frequency patterns in patients diagnosed with advanced non-small cell lung cancer (ansclc). We used those rwd inputs to develop a discrete event simulation model of two treatments where disease progression was the outcome and pfs was the endpoint. Using this model, we induced bias with differential imaging assessment timing and quantified its effect on observed versus true treatment effectiveness. We assessed percent bias in the estimated hazard ratio (hr). The frequency of assessments differed by cancer treatment types. In simulated comparative-effectiveness studies, pfs hrs estimated using real-world imaging assessment frequencies differed from the true hr by less than 10% in all scenarios (range: 0.4% to -9.6%). The greatest risk of biased effect estimates was found comparing treatments with widely different imaging frequencies, most exaggerated in disease settings where time to progression is very short. This study provided evidence that the frequency of imaging assessments to detect disease progression can differ by treatment type in real-world patients with cancer and may induce some bias in comparative-effectiveness studies in some situations.",,,,,,,34227170,10.1002/pds.5323,,#2113,,"",""
Sensitivity analyses of unmeasured and partially-measured confounders using multiple imputation in a vaccine safety study.,Xu S; Clarke Cl; Newcomer Sr; Daley Mf; Glanz Jm,"Sensitivity analyses have played an important role in pharmacoepidemiology studies using electronic health records data. Despite the existence of quantitative bias analysis in pharmacoepidemiologic studies, simultaneously adjusting for unmeasured and partially measured confounders is challenging in vaccine safety studies. Our objective was to develop a flexible approach for conducting sensitivity analyses of unmeasured and partially-measured confounders concurrently for a vaccine safety study. We derived conditional probabilities for an unmeasured confounder based on bias parameters, used these conditional probabilities and monte carlo simulations to impute the unmeasured confounder, and re-constructed the analytic datasets as if the unmeasured confounder had been observed. We simultaneously imputed a partially measured confounder using a prediction model. We considered unmeasured breastfeeding and partially measured family history of type 1 diabetes (t1dm) in a study examining the association between exposure to rotavirus vaccination and t1dm. Before sensitivity analyses, the hazard ratios (hr) were 1.50 (95% ci, 0.81-2.77) for those partially exposed and 1.03 (95% ci, 0.62-1.72) for those fully exposed with unexposed children as the referent group. When breastfeeding and family history of t1dm were adjusted, the hr was 1.55 (95% ci, 0.84-2.87) for the partially exposed group; the hr was 0.98 (95% ci, 0.58-1.63) for the fully exposed group. We conclude that adjusting for unmeasured breastfeeding and partially measured family history of t1dm did not alter the conclusion that there was no evidence of association between rotavirus vaccination and developing t1dm. This novel approach allows for simultaneous adjustment for multiple unmeasured and partially-measured confounders.",,,,,,,33988275,10.1002/pds.5294,,#2114,,"",""
Greedy caliper propensity score matching can yield variable estimates of the treatment-outcome association-a simulation study.,Komen Jj; Belitser Sv; Wyss R; Schneeweiss S; Taams Ac; Pajouheshnia R; Forslund T; Klungel Oh,"Greedy caliper propensity score (ps) matching is dependent on randomness, which can ultimately affect causal estimates. We sought to investigate the variation introduced by this randomness. Based on a literature search to define the simulation parameters, we simulated 36 cohorts of different sizes, treatment prevalence, outcome prevalence, treatment-outcome-association. We performed 1:1 caliper and nearest neighbor (nn) caliper ps-matching and repeated this 1000 times in the same cohort, before calculating the treatment-outcome association. Repeating caliper and nn caliper matching in the same cohort yielded large variations in effect estimates, in all 36 scenarios, with both types of matching. The largest variation was found in smaller cohorts, where the odds ratio (or) ranged from 0.53 to 10.00 (iqr of ors: 1.11-1.67). The 95% confidence interval was not consistently overlapping a neutral association after repeating the matching with both algorithms. We confirmed these findings in a noninterventional example study. Caliper ps-matching can yield highly variable estimates of the treatment-outcome association if the analysis is repeated.",,,,,,,33733533,10.1002/pds.5232,,#2115,,"",""
Machine learning outcome regression improves doubly robust estimation of average causal effects.,Choi By; Wang Cp; Gelfond J,"Doubly robust estimation produces an unbiased estimator for the average treatment effect unless both propensity score (ps) and outcome models are incorrectly specified. Studies have shown that the doubly robust estimator is subject to more bias than the standard weighting estimator when both ps and outcome models are incorrectly specified. We evaluated whether various machine learning methods can be used for estimating conditional means of the potential outcomes to enhance the robustness of the doubly robust estimator to various degrees of model misspecification in terms of reducing bias and standard error. We considered four types of methods to predict the outcomes: least squares, tree-based methods, generalized additive models and shrinkage methods. We also considered an ensemble method called the super learner (sl), which is a linear combination of multiple learners. We conducted simulations considering different scenarios by the complexity of ps and outcome-generating models and some ranges of treatment prevalence. The shrinkage methods performed well with robust doubly robust estimates in term of bias and mean squared error across the scenarios when the models became rich by including all 2-way interactions of the covariates. The sl performed similarly to the best method in each scenario. Our findings indicate that machine learning methods such as the sl or the shrinkage methods using interaction models should be used for more accurate doubly robust estimators.",,,,,,,32716126,10.1002/pds.5074,,#2117,,"",""
Bias in case-crossover studies of medications due to persistent use: a simulation study.,Bykov K; Wang Sv; Hallas J; Pottegård A; Maclure M; Gagne Jj,"The case-crossover design is increasingly used to evaluate the effects of chronic medications; however, as traditionally implemented in pharmacoepidemiology, with referent period preceding the outcome, it may lead to bias in the presence of persistent exposures. We aimed to evaluate the extent and magnitude of bias in case-crossover analyses of chronic and persistent exposures, using simulations. We simulated cohorts with either 30-day, 180-day, or 2-year exposure duration; and with varying degrees of persistence (10%, 30%, 50%, 70%, or 90% of patients not stopping exposure). We evaluated all scenarios under the null and the scenario with 30% persistence under varying exposure effects (odds ratios of 0.25 to 4.0). Cohorts were analyzed using conditional logistic regression that compared the odds of exposure on the outcome day to the odds of exposure on a referent day 30 days prior to the outcome. We further implemented the case-time-control design to evaluate its ability to adjust for bias from persistence. Case-crossover analyses produced unbiased estimates across all scenarios without persistent users, regardless of exposure duration. In scenarios where some patients persisted on treatment, case-crossover analyses resulted in upward bias, which increased with increasing proportion of persistent users, but did not vary substantially in relation to the magnitude of the true effect. Case-time-control analyses removed bias in all scenarios. Investigators should be aware of bias due to treatment persistence in unidirectional case-crossover analyses of chronic medications, which can be remedied with a control group of similarly persistent noncases.",,,,,,,32548875,10.1002/pds.5031,,#2118,,"",""
